user_id,target,account_detail_f,pro_cat_f,accessories_f,view_order_f,orders_f,contact_us_f,rewards_f,rewards_cart_f,deli_retrn_f,shop_f,prod_search_f,goalkeeper_f,loyalty_f,prod_coulour_f,clearance_f,sale_f,training_wear_f,page_views,sessions
8468,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1
4884,0,5,31,13,0,2,1,4,1,0,6,0,0,0,0,0,1,0,78,6
3483,0,3,24,0,0,1,0,0,0,0,19,0,2,0,4,3,2,3,86,6
9032,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
1268,1,18,129,2,10,10,0,26,1,1,172,2,3,21,1,0,0,86,454,25
4009,0,0,16,0,0,0,0,0,0,0,19,1,8,0,0,0,0,4,49,1
4679,1,65,170,3,16,24,2,24,7,1,132,5,4,0,46,1,6,66,636,26
4370,0,3,28,12,0,0,2,5,0,0,37,1,3,2,0,0,3,6,696,96
6928,0,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1
7113,0,0,15,0,0,0,0,0,0,0,11,0,0,0,6,1,2,1,39,5
4037,1,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,45,4
1016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
6576,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
6635,0,9,71,23,0,1,0,4,1,0,58,0,11,0,54,0,1,11,177,1
9290,0,2,155,61,0,2,0,0,0,0,67,0,26,4,35,0,0,37,269,9
5853,1,0,6,0,0,0,0,0,0,0,8,0,0,0,8,3,0,0,18,1
8790,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,11,1
2233,0,1,24,3,0,0,1,0,0,0,16,0,0,0,0,0,1,31,50,2
2260,0,0,18,0,0,0,0,0,0,0,17,0,0,0,0,0,0,18,36,2
5195,1,0,38,23,0,0,0,3,0,2,33,0,0,0,23,0,2,9,119,2
4720,1,1,20,0,0,1,1,3,0,1,19,0,0,0,0,0,2,20,64,6
4869,0,2,123,8,0,2,0,3,0,0,68,0,35,1,4,5,0,6,330,3
8639,0,0,9,0,0,0,0,0,0,0,11,0,1,0,0,0,0,6,48,4
6521,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
5162,0,2,54,0,0,1,0,0,0,0,30,0,9,0,25,0,0,27,145,3
